,name,clouds,country,dt,humidity,lat,lon,temp_max,speed
231,Rafaela,0,AR,1600737804,23,-31.25,-61.49,57.99,1.01
232,Tatvan,0,TR,1600737805,48,38.51,42.28,57.11,3.87
233,Petropavlovsk-Kamchatskiy,40,RU,1600737807,66,53.05,158.65,55.4,4.47
234,La Rioja,0,ES,1600737808,87,42.25,-2.5,59.0,3.96
235,Kalabo,0,ZM,1600737809,24,-14.97,22.68,67.95,5.57
236,Rosenheim,10,DE,1600737810,94,47.86,12.12,57.0,2.33
237,Buraidah,0,SA,1600737811,23,26.33,43.98,82.4,5.82
238,Cerignola,20,IT,1600737812,88,41.26,15.9,70.0,2.24
239,Burnie,100,AU,1600737814,86,-41.07,145.92,50.0,13.0
240,Mattru,100,SL,1600737815,96,7.62,-11.83,73.78,1.5
241,Rossland,99,CA,1600737816,59,49.08,-117.8,64.99,1.03
242,Greece,20,US,1600737607,62,43.21,-77.69,53.01,6.93
243,Lethem,11,GY,1600737818,72,3.38,-59.8,80.98,2.44
244,Port Blair,78,IN,1600737819,82,11.67,92.75,82.04,10.78
245,Bria,100,CF,1600737822,96,6.54,21.99,68.67,0.67
246,Haimen,75,CN,1600737683,78,23.19,116.61,80.6,4.47
247,Rabat,40,MA,1600737824,100,33.99,-6.84,66.99,1.92
248,Mar del Plata,24,AR,1600737825,86,-38.0,-57.56,46.99,5.82
249,Araouane,0,ML,1600737826,14,18.9,-3.53,95.27,8.55
250,Hermanus,0,ZA,1600737827,80,-34.42,19.23,48.99,9.46
251,Örnsköldsvik,100,SE,1600737828,81,63.29,18.72,46.4,6.93
252,Chastyye,100,RU,1600737830,86,57.29,54.97,42.08,10.54
253,Agirish,98,RU,1600737831,93,61.92,63.02,33.42,6.85
254,Calabozo,100,VE,1600737832,89,8.92,-67.43,76.86,3.24
255,Guangming,86,CN,1600737833,83,45.33,122.78,57.52,4.23
256,Wilmington,1,US,1600737767,67,34.23,-77.94,63.0,5.82
257,Padang,100,ID,1600737835,66,-0.95,100.35,79.72,5.41
258,Samaná,75,DO,1600737837,83,19.21,-69.34,82.4,2.64
259,Ferme-Neuve,100,CA,1600737838,83,46.7,-75.45,46.17,3.49
260,Bambous Virieux,20,MU,1600737839,73,-20.34,57.76,71.01,11.41
261,Assiniboia,0,CA,1600737840,36,49.63,-105.98,66.42,7.27
262,Barguzin,0,RU,1600737841,61,53.62,109.62,45.41,1.34
263,Yar-Sale,100,RU,1600737842,82,66.83,70.83,39.63,11.16
264,Torbay,75,CA,1600737844,75,47.67,-52.73,45.0,11.41
265,College,40,US,1600737845,43,64.86,-147.8,55.4,1.68
266,Primo Tapia,1,MX,1600737847,68,32.22,-116.92,73.4,5.82
267,San Juan,1,AR,1600737848,26,-31.54,-68.54,66.04,13.51
268,Alberton,0,CA,1600737849,60,46.82,-64.07,48.56,5.41
269,Glinka,44,RU,1600737851,96,54.64,32.88,49.15,8.05
270,Esmeraldas,100,BR,1600737852,64,-19.76,-44.31,73.4,2.24
271,Plover,40,US,1600737853,67,44.46,-89.54,62.6,6.93
272,Sovetskiy,95,RU,1600737854,86,61.36,63.58,35.31,6.82
273,Isangel,90,VU,1600737855,73,-19.55,169.27,77.0,5.82
274,Río Gallegos,100,AR,1600737856,70,-51.62,-69.22,42.8,2.24
275,Bethanien,0,NA,1600737858,41,-26.5,17.16,50.86,5.12
276,Tabou,100,CI,1600737859,89,4.42,-7.35,75.99,8.95
277,Castro,100,BR,1600737673,87,-24.79,-50.01,54.23,11.39
278,Mahibadhoo,100,MV,1600737861,79,3.78,72.97,82.44,15.17
279,Szomód,14,HU,1600737862,76,47.68,18.34,60.01,4.7
280,Mauganj,100,IN,1600737863,95,24.68,81.88,75.97,6.04
281,Coquimbo,60,CL,1600737865,93,-29.95,-71.34,53.6,2.24
282,Arlit,0,NE,1600737866,15,18.74,7.39,91.76,8.63
283,Lubango,0,AO,1600737867,53,-14.92,13.49,59.59,0.72
284,Gamba,100,GA,1600737868,85,-2.65,10.0,73.56,7.29
285,Saint-Augustin,0,CA,1600737869,59,51.23,-58.65,48.65,15.32
286,Stornoway,100,GB,1600737871,100,58.21,-6.39,55.99,23.04
287,Leh,0,IN,1600737872,41,34.17,77.58,44.78,1.77
288,Roebourne,0,AU,1600737873,17,-20.78,117.13,77.76,20.04
289,Port-Cartier,5,CA,1600737874,65,50.03,-66.87,48.0,8.05
290,Kropotkin,0,RU,1600737875,50,45.44,40.58,53.24,9.22
291,Kirakira,100,SB,1600737876,67,-10.45,161.92,84.76,7.52
292,Katherine,40,AU,1600737878,52,-14.47,132.27,87.8,6.93
293,Iisalmi,99,FI,1600737879,81,63.56,27.19,53.6,14.99
294,Gimli,0,CA,1600737880,99,50.63,-96.99,63.0,3.0
295,Summerville,90,US,1600737881,68,33.02,-80.18,66.2,5.82
296,Resistencia,0,AR,1600737882,51,-27.46,-58.98,60.01,5.82
297,Soanierana Ivongo,95,MG,1600737883,89,-16.92,49.58,68.61,3.22
298,Coahuayana Viejo,75,MX,1600737885,78,18.73,-103.68,75.2,1.88
299,Keti Bandar,0,PK,1600737886,79,24.14,67.45,84.49,13.11
300,Zhigansk,0,RU,1600737887,65,66.77,123.37,48.49,4.94
301,Suntar,22,RU,1600737888,70,62.14,117.63,52.45,4.61
302,Moerai,54,PF,1600737889,87,-22.43,-151.33,74.46,8.46
303,Amlapura,75,ID,1600737890,100,-8.45,115.62,77.0,10.29
304,Yakeshi,100,CN,1600737892,83,49.28,120.73,48.15,4.07
305,Buala,100,SB,1600737893,66,-8.14,159.59,85.5,7.18
306,La Grande,1,US,1600737813,29,45.32,-118.09,78.8,18.34
307,Slonim,0,BY,1600737895,79,53.09,25.32,51.31,5.91
308,Lom,26,BG,1600737896,61,43.81,23.24,57.87,3.67
309,Hīt,0,IQ,1600737897,18,33.64,42.83,83.86,5.46
310,Aswān,4,EG,1600737899,22,24.09,32.91,87.01,11.21
311,Waynesville,0,US,1600737900,68,35.49,-82.99,50.0,3.29
312,Pitimbu,20,BR,1600737901,83,-7.47,-34.81,77.0,6.93
313,Ouadda,100,CF,1600737902,94,8.08,22.4,68.04,1.45
314,Mitsamiouli,26,KM,1600737903,70,-11.38,43.28,78.08,6.08
315,Gao,0,ML,1600737905,28,16.64,1.64,90.64,7.94
316,Teahupoo,20,PF,1600737786,62,-17.83,-149.27,84.2,24.16
317,Oddur,100,SO,1600737908,77,4.12,43.89,70.02,14.97
318,Villa Carlos Paz,0,AR,1600737909,34,-31.42,-64.5,62.01,11.41
319,Doka,78,SD,1600737910,90,13.52,35.77,72.81,5.3
320,Morón,0,AR,1600737911,75,-34.65,-58.62,54.0,1.99
321,Camacha,40,PT,1600737913,78,33.08,-16.33,71.6,3.36
322,Lensk,4,RU,1600737914,82,60.73,114.93,50.13,3.74
323,Bambanglipuro,67,ID,1600737915,77,-7.95,110.28,81.1,8.14
324,La Santisima Trinidad,25,BO,1600737916,30,-14.83,-64.9,73.4,7.65
325,Samarai,89,PG,1600737917,85,-10.62,150.67,80.02,14.03
326,Itaporanga,0,BR,1600737918,64,-7.3,-38.15,77.2,9.22
327,Pisco,0,PE,1600737880,87,-13.7,-76.22,61.0,11.41
328,Xining,21,CN,1600737737,68,36.62,101.77,54.03,0.29
329,Honiara,75,SB,1600737743,62,-9.43,159.95,87.8,3.36
330,Natá,100,PA,1600737924,77,8.33,-80.52,75.0,3.65
331,Adrar,19,MR,1600737925,28,20.5,-10.07,92.03,0.96
332,Hamilton,1,US,1600737764,81,39.18,-84.53,63.0,5.77
333,La Reforma,0,MX,1600737927,77,25.08,-108.05,87.01,5.99
334,Nouadhibou,22,MR,1600737929,83,20.93,-17.03,75.2,13.87
335,São Filipe,17,CV,1600737930,81,14.9,-24.5,79.9,2.17
336,Agua Verde,75,MX,1600737931,83,22.9,-106.05,88.0,8.03
337,Vila Velha,75,BR,1600737932,83,-20.33,-40.29,75.2,9.17
338,Mayaky,0,UA,1600737933,45,47.44,29.56,52.39,2.1
339,Esperance,75,AU,1600737934,87,-33.87,121.9,57.2,17.22
340,Aracoiaba,0,BR,1600737936,86,-4.37,-38.81,71.46,4.27
341,Am Timan,100,TD,1600737937,93,11.03,20.28,72.12,5.91
342,Abarán,96,ES,1600737938,63,38.21,-1.4,72.0,1.99
343,Beloha,0,MG,1600737939,93,-25.17,45.05,65.84,5.23
344,Paraná,0,AR,1600737940,36,-31.73,-60.52,59.0,1.01
345,Conceição das Alagoas,28,BR,1600737941,56,-19.91,-48.39,71.6,6.93
346,Le Port,20,RE,1600737943,60,-20.94,55.29,68.0,13.87
347,Manzanillo,75,CU,1600737944,77,20.34,-77.12,79.65,7.81
348,Tanout,100,NE,1600737945,33,14.97,8.89,87.84,8.79
349,Muros,0,ES,1600737946,94,42.78,-9.06,57.99,4.54
350,Shelabolikha,100,RU,1600737947,53,53.41,82.62,50.0,13.42
351,Santa Catarina de Tepehuanes,68,MX,1600737949,57,25.35,-105.73,66.83,5.19
352,Hualmay,83,PE,1600737950,83,-11.1,-77.61,61.07,7.76
353,Nabire,100,ID,1600737951,75,-3.37,135.48,81.91,3.91
354,Yulara,0,AU,1600737952,21,-25.24,130.99,69.8,12.75
355,Murdochville,0,CA,1600737953,74,48.96,-65.5,39.61,4.72
356,Holguín,20,CU,1600737954,83,20.89,-76.26,80.6,3.36
357,Uray,50,RU,1600737956,95,60.12,64.78,33.01,7.9
358,Coyhaique,90,CL,1600737957,70,-45.58,-72.07,44.6,3.36
359,Roswell,1,US,1600737667,62,34.02,-84.36,59.0,3.36
360,Bintulu,20,MY,1600737960,88,3.17,113.03,80.6,6.93
361,Tolaga Bay,0,NZ,1600737963,54,-38.37,178.3,63.21,8.01
362,Nueva Imperial,82,CL,1600737964,93,-38.73,-72.95,44.6,5.82
363,Antsohihy,0,MG,1600737965,79,-14.88,47.99,66.76,3.83
364,Esim,100,GH,1600737966,88,4.87,-2.24,75.13,9.24
365,Manzhouli,100,CN,1600737967,58,49.6,117.43,49.57,3.49
366,Athol,1,US,1600737968,75,42.6,-72.23,45.0,3.44
367,Wanning,32,CN,1600737970,75,18.8,110.4,84.0,0.58
368,Tiznit Province,0,MA,1600737971,34,29.58,-9.5,75.85,2.04
369,Matara,100,LK,1600737972,87,5.95,80.54,77.05,7.05
370,Kisangani,100,CD,1600737973,97,0.52,25.2,69.57,1.41
371,Severo-Kuril'sk,92,RU,1600737974,71,50.68,156.12,53.08,5.48
372,High Level,40,CA,1600737975,87,58.52,-117.14,51.8,3.49
373,Lamont,1,US,1600737978,21,35.26,-118.91,98.01,9.17
374,Besuki,93,ID,1600737979,56,-7.73,113.7,87.04,2.04
